record_id,date,year,month,program_name,program_category,program_status,region,state,beneficiaries_served,target_beneficiaries,target_achievement_rate,funding_received,program_expenses,funding_remaining,funding_utilization_rate,cost_per_beneficiary,volunteer_hours,number_of_volunteers,beneficiaries_per_volunteer_hour,satisfaction_score,outcome_success_rate
683,2023-09-01,2023,9,Food Assistance,Basic Needs,Completed,West,CA,364,326,111.66,21722.67,16501.71,5220.96,75.97,45.33,334.5,30,1.088,4.98,72.02
1319,2025-03-01,2025,3,Education Support,Education,Active,Midwest,OH,504,556,90.65,26876.22,23391.78,3484.44,87.04,46.41,428.7,38,1.176,4.21,68.72
577,2023-05-01,2023,5,Education Support,Education,Active,South,GA,422,447,94.41,26373.84,15244.27,11129.57,57.8,36.12,394.5,48,1.07,4.55,77.52
874,2024-02-01,2024,2,Job Training,Economic Empowerment,Active,West,CA,184,154,119.48,12296.49,12162.57,133.92,98.91,66.1,140.3,15,1.311,4.67,79.7
332,2022-10-01,2022,10,Job Training,Economic Empowerment,Active,Northeast,PA,205,187,109.63,11541.16,10755.54,785.62,93.19,52.47,229.5,19,0.893,4.11,78.84
904,2024-03-01,2024,3,Housing Support,Basic Needs,Active,Northeast,NY,225,234,96.15,17188.66,13319.83,3868.83,77.49,59.2,223.1,20,1.009,3.88,81.5
174,2022-06-01,2022,6,Housing Support,Basic Needs,Paused,South,TX,240,299,80.27,15303.29,14326.19,977.1,93.62,59.69,152.3,20,1.576,4.56,62.58
830,2024-01-01,2024,1,Healthcare Access,Health,Completed,Midwest,IL,308,288,106.94,20371.59,15087.99,5283.6,74.06,48.99,174.1,28,1.769,4.27,74.67
494,2023-03-01,2023,3,Job Training,Economic Empowerment,Active,Midwest,IL,246,278,88.49,13858.12,11402.72,2455.4,82.28,46.35,119.7,19,2.055,4.64,65.33
375,2022-12-01,2022,12,Housing Support,Basic Needs,Active,West,WA,201,182,110.44,13675.05,10772.49,2902.56,78.77,53.59,115.1,18,1.746,4.5,66.76
1054,2024-07-01,2024,7,Food Assistance,Basic Needs,Active,West,CA,532,625,85.12,30836.89,21259.57,9577.32,68.94,39.96,204.2,25,2.605,4.15,77.37
1594,2025-11-01,2025,11,Education Support,Education,Active,Northeast,PA,457,615,74.31,25730.76,18021.08,7709.68,70.04,39.43,328.8,39,1.39,3.88,97.53
716,2023-10-01,2023,10,Youth Development,Education,Paused,South,FL,324,303,106.93,14732.75,10601.92,4130.83,71.96,32.72,155.1,24,2.089,4.44,80.16
1617,2025-12-01,2025,12,Community Outreach,Community,Active,Northeast,MA,112,106,105.66,9827.57,7051.17,2776.4,71.75,62.96,113.7,12,0.985,4.89,59.4
638,2023-07-01,2023,7,Food Assistance,Basic Needs,Active,South,FL,450,421,106.89,29993.26,23598.92,6394.34,78.68,52.44,505.4,47,0.89,4.6,78.62
480,2023-03-01,2023,3,Food Assistance,Basic Needs,Active,Midwest,IL,511,462,110.61,35520.84,26294.09,9226.75,74.02,51.46,585.2,56,0.873,4.06,75.52
1618,2025-12-01,2025,12,Job Training,Economic Empowerment,Completed,Northeast,NY,319,238,134.03,18338.63,16729.63,1609.0,91.23,52.44,283.0,27,1.127,4.02,82.2
533,2023-04-01,2023,4,Job Training,Economic Empowerment,Active,Northeast,MA,235,244,96.31,12561.25,8682.63,3878.62,69.12,36.95,210.8,24,1.115,4.75,69.67
423,2023-01-01,2023,1,Food Assistance,Basic Needs,Paused,Northeast,MA,416,468,88.89,27137.5,19190.9,7946.6,70.72,46.13,661.2,53,0.629,4.59,86.22
742,2023-10-01,2023,10,Community Outreach,Community,Active,Midwest,MI,211,191,110.47,12918.65,9048.14,3870.51,70.04,42.88,66.9,18,3.154,5.0,73.53
567,2023-05-01,2023,5,Education Support,Education,Active,West,CA,386,415,93.01,23249.41,20332.1,2917.31,87.45,52.67,262.9,36,1.468,4.85,74.9
1089,2024-09-01,2024,9,Job Training,Economic Empowerment,Active,South,GA,299,323,92.57,17284.57,14189.14,3095.43,82.09,47.46,248.7,34,1.202,5.0,68.38
1213,2024-12-01,2024,12,Community Outreach,Community,Active,Northeast,PA,214,263,81.37,12807.41,8082.4,4725.01,63.11,37.77,180.5,17,1.186,4.64,70.05
