record_id,date,year,month,program_name,program_category,region,state,beneficiaries_served,target_beneficiaries,funding_received,program_expenses,volunteer_hours,number_of_volunteers,satisfaction_score,outcome_success_rate,program_status
683,2023-09-01,2023,9,Food Assistance,Basic Needs,West,CA,364,326,21722.67,16501.71,334.5,30,4.98,72.02,Completed
1319,2025-03-01,2025,3,EDUCATION SUPPORT ,Education,Midwest,OH,504,556,26876.22,23391.78,428.7,38,4.21,68.72,Active
577,2023-05-01,2023,5,Education Support,Education,South,GA,422,447,26373.84,15244.27,394.5,48,4.55,77.52,Active
874,2024-02-01,2024,2,Job Training,Economic Empowerment,West,CA,184,154,12296.49,12162.57,140.3,15,4.67,79.7,Active
332,2022-10-01,2022,10,Job Training,Economic Empowerment,Northeast,PA,205,187,11541.16,10755.54,229.5,19,4.11,78.84,Active
904,2024-03-01,2024,3,Housing Support,Basic Needs,Northeast,NY,225,234,17188.66,13319.83,223.1,20,3.88,81.5,Active
174,2022-06-01,2022,6,housing support,Basic Needs,South,TX,240,299,15303.29,14326.19,152.3,20,4.56,62.58,Paused
830,2024-01-01,2024,1,HEALTHCARE ACCESS,Health,Midwest,IL,308,288,20371.59,15087.99,174.1,28,4.27,74.67,Completed
494,2023-03-01,2023,3,Job Training,Economic Empowerment,Midwest,IL,246,278,13858.12,11402.72,119.7,19,4.64,65.33,Active
375,2022-12-01,2022,12,Housing Support,Basic Needs,WEST,WA,201,182,13675.05,10772.49,115.1,18,4.5,66.76,Active
1054,2024-07-01,2024,7,food assistance,Basic Needs,West,CA,532,625,30836.89,21259.57,204.2,25,4.15,77.37,Active
1594,2025-11-01,2025,11,Education Support,Education,Northeast,PA,457,615,25730.76,18021.08,328.8,39,3.88,97.53,Active
716,2023-10-01,2023,10,Youth Development,Education,South,FL,324,303,14732.75,10601.92,155.1,24,,80.16,Paused
1617,2025-12-01,2025,12,Community Outreach,Community,Northeast,MA,112,106,9827.57,7051.17,113.7,12,4.89,59.4,Active
638,2023-07-01,2023,7,Food Assistance,Basic Needs,South,FL,450,421,29993.26,23598.92,505.4,47,4.6,78.62,Active
480,2023-03-01,2023,3,Food Assistance,Basic Needs,Midwest,IL,511,462,35520.84,26294.09,585.2,56,4.06,75.52,Active
1618,2025-12-01,2025,12,Job Training,Economic Empowerment,Northeast,NY,319,238,18338.63,16729.63,283.0,27,4.02,82.2,Completed
533,2023-04-01,2023,4,Job Training,Economic Empowerment,Northeast,MA,235,244,12561.25,8682.63,210.8,24,4.75,69.67,Active
423,2023-01-01,2023,1,Food Assistance,Basic Needs,North East,MA,416,468,27137.5,19190.9,661.2,53,4.59,86.22,Paused
742,2023-10-01,2023,10,Community Outreach,Community,Midwest,MI,211,191,12918.65,9048.14,66.9,18,5.0,73.53,Active
567,2023-05-01,2023,5,education support,Education,West,CA,386,415,23249.41,20332.1,262.9,36,4.85,74.9,Active
1089,2024-09-01,2024,9,Job Training,Economic Empowerment,South,GA,299,323,17284.57,14189.14,248.7,34,9.9,68.38,Active
1213,2024-12-01,2024,12,Community Outreach,Community,Northeast,PA,214,263,12807.41,8082.4,180.5,17,4.64,70.05,Active
426,2023-01-01,2023,1,Job Training,Economic Empowerment,,CA,266,287,15552.31,11977.08,79.2,25,4.71,73.01,Paused
583,2023-06-01,2023,6,Housing Support,Basic Needs,Midwest,MI,184,200,13752.54,9623.64,184.6,21,4.1,64.23,Active
1388,2025-05-01,2025,5,Job Training,Economic Empowerment,WEST,WA,205,233,12545.42,9536.19,133.4,19,3.97,73.89,Paused
1038,2024-07-01,2024,7,Education Support,Education,Midwest,OH,575,588,30917.07,27307.99,539.5,65,4.2,81.11,Active
421,2023-01-01,2023,1,Community Outreach,Community,West,AZ,120,94,9704.68,6254.23,115.1,8,4.14,71.42,Paused
702,2023-09-01,2023,9,Job Training,Economic Empowerment,South,FL,229,263,14228.31,13611.53,233.6,24,4.18,51.57,Active
71,2022-03-01,2022,3,Healthcare Access,Health,South,FL,434,512,20832.76,15570.35,398.6,47,3.53,66.94,Active
276,2022-09-01,2022,9,Job Training,Economic Empowerment,Midwest,IL,235,272,15023.04,9775.08,160.2,15,5.0,74.84,Active
